text,predicted_emotion,confidence
"released ice brook river quickening glance gracious spring colors hope valley cling weak old winter shiver withdrawn mountains crownless king whence ever retreating sends impotent showers sleet darkle belts across green plain sun permit white sparkle everywhere development moveth brighten world tints loveth lacking blossoms blue yellow red takes gaudy people instead turn height back town direct sight hollow gloomy gate motley throngs come forth elate joy sunshine hoard honor day risen lord feel resurrection low dark rooms scarce habitable bonds work trades restriction pressing weight roof gable narrow crushing streets alleys churches solemn reverend night come forth cheerful light lively see multitude sallies scattering gardens fields remote river broadly dallies dances festive boat overladen nigh sinking last full wherry takes stream yonder afar hillpaths blinking clothes colors softly gleam hear noise village peoples proper heaven high low contented see man—dare man","joy",0.9206
"take cup kindly reach thanks health","joy",0.7053
"test trial evaded helping god helper aided","joy",0.7175
"bow friends teaches help succor sends","joy",0.8632
"steps ascend far yonder stone— wandering rest contented lost thought ive lingered oft alone foolish fasts prayers life tormented rich hope firm faith tears wrung hands sighs ive striven end farspreading death entreating lord heaven like contempt crowds applauses seem couldst read within mine inmost spirit little deem sire son praises merit fathers sombre brooding brain holy spheres nature groped wandered honestly fashion pondered labor whimsical pain dusky workshop bending proved adepts company made recipes unending","sadness",0.9498
"happy renews hope errors deeps rise forever know needs use knows uses never despondence fortune hour embitter mark beneath evening sunlights glow greenembosomed houses glitter glow retreats done day toil yonder hastes new fields life exploring ah wing lift soil track follow follow soaring see eternal evening gild silent world beneath glowing fire mountainpeak peace valley filled silver brook golden rivers flowing mountainchain gorges deep impede godlike motion mine eyes expands ocean bays shining sleep finally weary god sinking newborn impulse fires mind— hasten beams eternal drinking day night behind heaven unfurled floor waves beneath me— glorious dream though glories fade alas wings lift mind aid wings lift body bequeath soul born pleasure yearning onward upward away oer heads lost vaulted azure lark sends flickering lay— crags piny highlands poising eagle slowly soars plains lakes islands crane sails shores","joy",0.8170
"impulse conscious best never seek know two souls alas reside within breast withdraws repels brother tenacious organs holds love clinging lust world embraces strongly sweeps dust high ancestral spaces airy spirits near twixt heaven earth potent errands fleeing drop golden atmosphere bear forth new varied yea magic mantle mine waft oer world pleasure costliest stores treasure— monarchs robe—the gift resign","joy",0.7991
"seest black dog coursing corn","fear",0.5294
"inspect close takst beast","joy",0.7632
"seest spiral circles narrowing faster approaching round seems wind streaming trail fire see rightly follows path mystery","joy",0.5533
"seems enchanted cunning snares feet future chain bind","joy",0.8298
"circle narrows near","joy",0.8615
"come follow come least","joy",0.9046
"doubt youre right trace mind beast see drill alone","fear",0.4201
"behind field meadow sleeping leave deep prophetic night within whose dread holy keeping better soul awakes light wild desires longer win deeds passion cease chain love man revives within love god revives poodle make racket riot threshold wilt snuffing behind stove repose quiet softest cushion give yonder running leaping amused mountains crest take keeping welcome also silent guest ah within narrow chamber lamp friendly lustre glows flames breast faded ember heart knows hope lends sweet assistance reason resumes speech yearns rivers existence founts life reach snarl poodle sound rises sacred tones soul embrace bestial noise place used see man despises never comprehends good beautiful vilipends finding often hard measure dog like man snarl displeasure ah feel though thereto stronger contentment flows breast longer stream soon run dry fail burning thirst assail therein ive borne much probation want supplied call supernatural guide pine thirst revelation nowhere worthier nobly sent new testament feel impelled meaning determine— honest purpose","joy",0.9988
"first encounter beast words four addressed","joy",0.7716
"poodles real core travelling scholar casus diverting","anger",0.5608
"gentlemen names test whereby nature usually expressed clearly latter implies names like beelzebub destroyer father lies","joy",0.4114
"hidden sense enigma lies","joy",0.8604
"namst thyself part showst complete","joy",0.7450
"see plan pursuing canst compass general ruin smaller scale begun","joy",0.9368
"actively eternal creative force cold disdain oppose fist infernal whose wicked clench vain labor seek rather queer son chaos begin","joy",0.8966
"shouldst ask dont perceive though acquaintance recent visits leave windows door yonder chimney also behold","joy",0.6482
"well—chance time fairly hit thourt prisoner seems business succeeded","anger",0.3173
"try open windowpane","joy",0.8609
"hell laws reckoned thats might compact made gentlemen—and binding—surely","joy",0.4869
"moment ask remain pleasant news least tell","joy",0.9481
"snares around cast thyself led thyself meshes traps devil hold fast soon second time hell catch prey precious","joy",0.6204
"thereto willingly agree diversion pleasant","joy",0.6986
"foully cheated remains naught lofty spiritsway dream devil counterfeited poodle ran away","joy",0.7394
"knock come quiet broken","joy",0.8880
"life earth whatever attire pain wonted fashion old play passion young without desire world gain abstain—renounce—refrain everlasting song ears men rings— unrelieved whole life long hour passing hoarsely sings terror morn awake verge bitter weeping see day disappointment break hope mine—not one—its promise keeping— joys presentiment wilful cavil diminish grinning masks life prevent mind fairest work finish night descends anxiously couch sleep lay also comes rest wild dream sent fray god breast owned deeply stir inner sources god powers enthroned change external forces burden days oppressed death desired life thing unblest","anger",0.9729
"fortunate victory glances bloody laurels brow bindeth rapid maddening dances clasping maidenarms findeth spiritpower ravished rapt life sunken","joy",0.7906
"eavesdropping ha pleasure seems","joy",0.6604
"though familiar tone retrieving thoughts torment led sweet clear echoes came deceiving faith bequeathed childhoods dawn curse whateer entices snares soul visions vain dazzling cheats dear devices confines cave pain cursed high ambition wherewith mind deludes cursed glare apparition finer sense intrudes cursed lying dreams impression name fame laurelled brow cursed flatters possession wife child knave plow cursed mammon treasures restless action spurs fate cursed soft indulgent leisures lays pillows straight cursed vines transcendent nectar— highest favor love lets fall cursed also hope—cursed faith spectre cursed patience","sadness",0.7049
"counterservice therefor","joy",0.7767
"no—no devil egotist apt without gods sake others assist speak conditions plain clear servant danger comes fear","joy",0.7359
"scruples naught increases dashed world pieces place fill earth pleasures sources yon sun beholds sorrows courses life divorces happen ill hear tis vain ponder cherish love hate spheres dream yonder high low souls await","fear",0.6581
"canst poor devil give whatsoever human soul supreme endeavor eer understood food never satiates now— restless ruddy gold runs quicksilverlike ones fingers through— game whose winnings man ever knew— maid breast beckons neighbor wanton glances honors godlike zest meteor moment dances— show fruits ere theyre gathered rot trees daily new leafage clothe","anger",0.5943
"idlers bed stretch quiet record end canst lying flattery rule selfpleased see— canst rich enjoyment fool day last bet offer","joy",0.8841
"perfect right thereto powers rashly estimated slave whateer do— thine whose tis needless debate","joy",0.8177
"demandst pedant document never known man proved words intent ist enough speak today stand future days agreeing tides sweeps world away promise bind delusion hearts bear therefrom deliver blest whose bosom truth makes pure fair sacrifice repent ever nathless parchment writ stamped care spectre shun endeavor word alas dies pen wax leather keep lordship wilt base spirit say— brass marble parchment paper clay terms graver quill chisel stated freely leave choice","fear",0.9584
"therewith fully satisfied farce abide","joy",0.9865
"fear pact seek sever promise make sum endeavor inflated high proper place estate mighty spirit deigns reply nature shuts gate thread thought last broken knowledge brings disgust unspoken sensual deeps explore quench fervors glowing passion every marvel take fashion impervious veil wore plunge times tumultuous dance rush roll circumstance","joy",0.8692
"heard tis joy talking take wildering whirl enjoyments keenest pain enamored hate exhilarant disdain bosom thirst knowledge sated henceforth pang wrested life mankind created within mine inmost tested highest lowest forms soul borrow heap bliss sorrow sole self selves expanded last stranded","joy",0.9662
"nay","joy",0.7788
"tis denied part crown humanity win whereto yearns every sense within","joy",0.9545
"feel indeed made treasure human thought knowledge mine vain sit restful leisure fount newer strength brain hairsbreadth height nearer infinite","sadness",0.5929
"see heart","joy",0.9018
"flowing beard wear ease grace fail attempt indeed futile strife never could learn ways life feel small others thence always find embarrassments","joy",0.4110
"leave house start servant coach horses","joy",0.8789
"leave inclination","joy",0.8792
"crazy signs witches craft repel","joy",0.8253
"used stoop try it— take spade hand ply narrow suits","joy",0.8819
"hag alone canst thyself brew potion","fear",0.3149
"absurder ever see","joy",0.8013
"time standing mirror approaching retreating see heavenly revealed shows glass magics fair dominions lend love swiftest pinions bear beauteous field ah leave spot fond designing attempt venture near dim gathering mist charms appear— womans beauty shining woman lovely find body reclining heavens bright epitome earth thing mated","love",0.6358
"woes fear lose wits","joy",0.7985
"bosom burns sweet vision speed away","joy",0.8990
"come creatures antic crazy stuff gestures frantic— repulsive cheats view— known hated","fear",0.9752
"talks like raves fever","joy",0.9351
"nonsense declaims head nigh split fear seems hear hundred thousand fools chorus","joy",0.5406
"rapid glance within mirror give beautiful womanform","joy",0.7919
"fair lady offend arm escort lend","joy",0.9897
"heaven girl wondrous fair ive seen beyond compare sweetly virtuous pure little pert sure lip red cheeks clear dawn ill forget world rolls cast timid eyes deep heart imprinted lies short sharp speech twas real ecstasy","joy",0.8931
"hear girl id possession","joy",0.9079
"went","joy",0.8936
"shes older fourteen","joy",0.8747
"worthy pedagogue take heed word moral law spoken claim tell right image delight rest within mine arms tonight midnight compact broken","joy",0.8690
"seven hours devil call win persuasion","joy",0.8170
"without appetite","joy",0.8719
"get something angel keeps lead thither sleeps get kerchief breast— garter knee pressed","joy",0.8659
"see—possess","joy",0.7677
"go thither","joy",0.8740
"gift bid get","joy",0.8480
"leave alone beg","sadness",0.7260
"welcome twilight soft sweet breathes throughout hallowed shrine sweet pain love bind fetters fleet heart dew hope pine around sense impresses quiet order content poverty bounty blesses bliss within narrow den pent receive thine open arms departed joy pain wert wont gather oft children ruddy charms hung around throne sat father perchance love amid childish band grateful gifts holy christmas gave meekly kissed grandsires withered hand feel maid soul order content around whisper— leads motherly control cloth board bids smoothly unroll sand beneath feet makes whiter crisper dearest hand tis given change hut lower heaven","joy",0.9512
"go go never retreat","joy",0.7817
"know","joy",0.9044
"ails ist gripes elf face like thine beheld never","joy",0.6101
"head order sadly much becomes raving madly","joy",0.9105
"general practice jew king also claim","joy",0.9211
"darlings sorrow gives pain get set first great display","joy",0.5435
"fix arrange neighbor try skill dont devil stiff paste get fresh jewels taste","joy",0.6848
"way soon complete","joy",0.9109
"service pays","joy",0.8009
"wise first course make journey","joy",0.9485
"youve naught better ill tear pretty plan","joy",0.9860
"remainst sophist liar","joy",0.8525
"heart","joy",0.9076
"hold hold will—if flame sense power intense seek find name range senses creation craving speech inspiration call ardor supernal endless eternal eternal— devilish lying game","joy",0.7701
"mark beg spare lungs henceforth whoever intends right","anger",0.7797
"look word entertains lore wisest brains","joy",0.4204
"trust dear heart men call sensible oft mere vanity narrowness","joy",0.7616
"ah simplicity innocence neer know holy value spell meekness lowliness highest graces nature portions lovingly—","joy",0.9012
"doubt youre much alone","sadness",0.9337
"angel like","joy",0.9109
"purest bliss surely dower","joy",0.8232
"angel didst recognize gardengate came","joy",0.8294
"forgivst freedom blame impertinence befitting cathedral wert quitting","joy",0.7678
"yes child blossomword speech divine loves ah knowst means loves","joy",0.9985
"tremble look warm clasp hands declare","joy",0.6885
"ah rogue tease","joy",0.8706
"wait","joy",0.8955
"ah remain","joy",0.8778
"spirit sublime gavst gavst prayed unto vain countenance revealed fire gavst nature kingdom grand power feel enjoy cold amazed acquaintance yieldst grantest profoundest breast gaze bosom friend ranks living creatures lead teaching know brothers air water silent wood storm forests roars grinds giant firs falling neighbor boughs neighbor trunks crushing weight bear falling fill hills hollow thunders— cave secure leadest showst mine self breast deep mysterious miracles unfold perfect moon gaze comes soothing light around float every precipice thicket damp silvery phantoms ages past temper austere delight thought nothing perfect unto man conscious ecstasy brings near nearer gods gavst comrade without though cold scornful demeans breath word transforms gifts nothingness within breast fans lawless fire unwearied fair lovely desire hasten enjoyment enjoyment pine feel desire","surprise",0.4781
"work plague day auspicious returnest","joy",0.8745
"proper tone— bored thankful","joy",0.9512
"fresh vital forces canst guess spring commerce wilderness hadst power guessing wouldst devil enough grudge soul blessing","joy",0.9483
"get away thine offences reprobate name fairest thing desire sweet body bring halfdistracted senses","joy",0.8340
"near love keeps watch ward though neer far falter envy body lord touching lips altar","joy",0.9309
"within arms heavenly blisses though glowing kisses always share need fugitive houseless roaming monster without air rest like cataract rocks gorges foaming leaps maddened abysss breast sidewards young unwakened senses within cabin alpine field simple homely life commences little world therein concealed gods hate flung oer enough thrust stubborn rocks strike dust peace undermine hell claimed sacrifice thine help devil coming pangs push","anger",0.8307
"leave child knowst love tender love blood life surrender faith church grant","joy",0.9012
"darling dare believe god say ask priest sage answer declare seem mocking play sarcasm asker","joy",0.8380
"hear falsely sweetest countenance dare express profess saying believe","joy",0.5889
"thing places hearts beat beneath heavenly day— language—say mine","joy",0.5014
"nay fear sweetest","joy",0.6287
"queer birds however","joy",0.6653
"thine antipathy","joy",0.7767
"twould love advise","joy",0.4684
"played spy","joy",0.9243
"monster wilt see pure soul faith lowly loving ineffable—","joy",0.7432
"abortion filth fire","joy",0.8040
"window sacristy upward theternal lamp sends forth glimmer lessening sidewards fainter grows dimmer till darkness closes sky shadows within bosom gather","joy",0.7618
"meanwhile treasure risen behind glimmering see","anger",0.4123
"jewel ring deck therewith darling girl","joy",0.5717
"thats indeed painful bring gift visit","anger",0.4410
"long legs feel fresh existence knotted staff suffices need shorten way along labyrinth vales wander climb rocky ramparts yonder wherefrom fountain flings eternal spray delight steps fain delay springtime stirs within fragrant birches firtree feels limbs escape gentle searches","joy",0.7152
"strangely glimmers hollows dreary light like dawn exhalation tracks follows deepest gorges faint wan steam rolling vapor sweepeth burns glow film haze like tender thread creepeth like fountain leaps plays winds away hundred divided veins valley braids corner pressed sundered detaches spreads fades gush sparkles incandescent like scattered showers golden sand— see height present rocky ramparts blazing stand","joy",0.8231
"raves tempest air fierce blows neck tis beating","joy",0.7979
"spirit contradiction ill follow straight tis planned wisely judge aright climb brockens top walpurgisnight arbitrarily isolate","joy",0.5756
"better summit fire whirling smoke see seek evil wild confusion enigmas might find solution","joy",0.9286
"wilt introduce revel assume part wizard devil","joy",0.8885
"lose pother fair never another","joy",0.8420
"two old young sitting theyve danced already fitting","joy",0.9216
"lovely dream came beheld appletree two fairest apples shone lured climbed thereon","joy",0.5522
"everywhere fall others dance weighs matter cant every step bechatter tis step made forwards go ire displayed whirl regular gyration dull old mill hed show rate goodwill— especially heard heeded hortation","sadness",0.9680
"ah midst sprang red mouse mouth—sufficient reason","joy",0.6435
"saw i—","joy",0.8197
"forsooth eyes dying hand loving pressure closed breast whereon lying— body sweet beside reposed","joy",0.7812
"woe rapture ensnare gaze tear strange around fairest throat single scarlet band gleaming broader knifeblade seeming","sadness",0.3760
"misery despair long wretchedly astray face earth imprisoned gracious illstarred creature shut dungeon criminal given fearful torments come this—treacherous contemptible spirit concealed me—stand then—stand roll devilish eyes wrathfully head stand defy thine intolerable presence imprisoned irretrievable misery delivered evil spirits condemning unfeeling man lulled meanwhile insipid dissipations concealed increasing wretchedness suffered go helplessly ruin","fear",0.7847
"dog abominable monster transform infinite spirit transform reptile dogshape pleased often night scamper roll feet unsuspecting wanderer hang shoulders fell transform favorite likeness crawl belly dust me—that trample outlawed foot first woe woe human soul grasp sink depths misery—that first writhing deathagony eyes eternal forgiver expiate guilt others misery single pierces marrow life calmly grinning fate thousands","joy",0.9960
"gnash devouring teeth fills horrible disgust mighty glorious spirit vouchsafed thine apparition knowest heart soul fetter feloncomrade feeds mischief gluts ruin","anger",0.5579
"rescue woe fearfullest curse","anger",0.7075
"take thither free","joy",0.8896
"murder death world monster take thither say liberate","joy",0.8381
"weave round ravenstone","joy",0.5551
"soaring sweeping bowing bending","joy",0.6272
"scatter devote doom","fear",0.4527
"shudder long unfelt comes oer mankinds collected woe oerwhelms dwells within dark damp walls crime delusion dear delay free dread see shrinking lingers death near mother harlot put death father varlet","fear",0.3997
"dream lover listens near rattling chain rustling straw hear","joy",0.4923
"hush hush hour come frees","joy",0.7436
"cries wake guards seize","joy",0.7727
"outlive misery","joy",0.7145
"lieth loves ever thraldom woe sever","joy",0.7877
"come follow darling bold ill clasp soon warmth thousandfold follow tis beg","joy",0.6017
"tis come","joy",0.9051
"come come night already vanisheth","joy",0.8061
"past past","joy",0.9085
"feelst come","joy",0.7776
"canst open stands door","anger",0.5906
"words prayers nothing worth ill venture bear forth","joy",0.9132
"day dawns dearest dearest","joy",0.8637
"neer born","joy",0.7534
